./sledgehammer/Hoare/uf.692423.smt2, unsat, 6, v1, 750.5933686606586
./sledgehammer/Hoare/uf.692423.smt2, unsat, 6, v3, 687.7684092745185
./sledgehammer/Hoare/uf.692423.smt2, unsat, 6, v1, 748.5988998562098
./sledgehammer/Hoare/uf.692423.smt2, unsat, 6, v3, 690.2156809866428
./sledgehammer/Hoare/uf.692423.smt2, unsat, 6, v1, 755.8073796853423
./sledgehammer/Hoare/uf.692423.smt2, unsat, 6, v3, 681.3209452182055
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_33_263_2707193.smt_in.smt2, unsat, 7, v1, 202.13761057704687
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_33_263_2707193.smt_in.smt2, unsat, 7, v3, 270.82487404718995
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_33_263_2707193.smt_in.smt2, unsat, 7, v1, 202.70773719996214
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_33_263_2707193.smt_in.smt2, unsat, 7, v3, 269.09538408368826
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_33_263_2707193.smt_in.smt2, unsat, 7, v1, 201.97068326547742
./20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_14_33_263_2707193.smt_in.smt2, unsat, 7, v3, 269.35157535225153
./sledgehammer/Fundamental_Theorem_Algebra/uf.1398696.smt2, unsat, 18, v1, 414.37747268751264
./sledgehammer/Fundamental_Theorem_Algebra/uf.1398696.smt2, unsat, 18, v3, 361.4040565788746
./sledgehammer/Fundamental_Theorem_Algebra/uf.1398696.smt2, unsat, 18, v1, 414.227247774601
./sledgehammer/Fundamental_Theorem_Algebra/uf.1398696.smt2, unsat, 18, v3, 362.38841611519456
./sledgehammer/Fundamental_Theorem_Algebra/uf.1398696.smt2, unsat, 18, v1, 414.3901741951704
./sledgehammer/Fundamental_Theorem_Algebra/uf.1398696.smt2, unsat, 18, v3, 361.4429146870971
